salutations	salutoj
up to 10kg of red ochre  was buried with them. 40000 years ago the first art galleries were dug and animated by ochre, and 10000 years ago ochre became the first substance to be traded by man.	ĝis 10 kg da ruĝa okro  oni entombigis kune kun ili. okro animis kaj efektivigis antaŭ 40000 jaroj la fosadon de la unuaj galerioj kaj antaŭ 10000 jaroj fariĝis la unua komercaĵo de la homaro.
ethnologue	ethnologue
ethnologue is the name of the big­gest  encyclopedia of languages in the world. it has information on 7299 languages, of which 6912 are living.	ethnologue estas la nomo de la plej granda prilingva enciklopedio en la mondo. ĝi raportas pri 7299 lingvoj el kiuj 6912 estas vivantaj.
the newest, 15th, edition can be freely consulted on the internet:.	la plej nova 15a eldono estas senpage konsultebla en interreto.
the work contains a mass of inter­esting facts. for example, we get to know that of those 6912 living languages, 2269 originate in asia, 2092 in africa, 1310 in oceania, 1002 in america and only 239 in europe.	la verko enhavas amason da interesaj faktoj. ni ekzemple ekscias ke el tiuj 6912 vivantaj lingvoj, 2269 originas el azio, 2092 el afriko, 1310 el oceanio, 1002 el ameriko kaj nur 239 el eŭropo.
eight languages have more than 100 million native speakers, 24 languages have fewer than ten speakers. the state with the most languages is papua newguinea where 820 languages are spoken. it is followed by india with 742 and nigeria with 516 languages.	ok lingvoj havas pli ol 100 milionojn da denaskaj parolantoj, 204 lingvoj havas malpli ol dek parolantoj. la ŝtato kun la plej multaj lingvoj estas papuo-novgvineo, kie 820 lingvoj estas parolataj. sekvas barato kun 742 kaj niĝerio kun 516 lingvoj.
there are several lines of descrip­tion for each language. we read where it is spoken, how many peo­ple speak it, how many dialects it has and what they are called, how it is classified, and much more.	pri ĉiu lingvo estas kelklinia priskribo. oni legas kie ĝi estas parolata, kiom da homoj parolas ĝin, kiom da dialektoj ĝi havas kaj kiel ili nomiĝas, kiel oni klasifikas ĝin kaj multe pli.
moreover, the work explains why it is called a 'language' and not a 'dialect'. reasons can be, for example, that dictionaries and encyclopaedias exist, radio stations use it, the bible has been translated into it, etc.	krome la verko klarigas kial oni nomas ĝin 'lingvo' kaj ne 'dialekto'. kialoj povas esti ekzemple ke ekzistas vortaroj, enciklopedioj, radiostacioj uzantaj ĝin, traduko de la biblio, ktp.
almroth wright	almroth wright
the name alexander fleming is known throughout the world, but that of the man who was his chief and friend of 40 years is less familiar.	la nomo alexander fleming estas konata tra la mondo, sed tiu de la viro kiu estis lia estro kaj amiko dum 40 jaroj estas malpli konata.
almroth wright was born in middleton tyre in yorkshire, the son of an irish presbyterian minister and a swedish mother whose father was governor of the royal mint in stockholm.	almroth wright naskiĝis en middleton tyre en jorkŝiro, la filo de irlanda presbiteriana pastro kaj sveda patrino, kies patro estis es­tro de la reĝa monfarejo en stokholmo.
the family came to ireland when he was quite young. he was taught mainly by private tutors who seem to have done a very good job. he was fluent in several languages and could quote a quarter of a million lines of poetry.	la familio venis al irlando kiam li estis sufiĉe juna. lin instruis plejparte privataj guvernistoj, kiuj ŝajne tre bone sukcesis. li flue parolis kelkajn lingvojn kaj povis citi kvaronon da milionoj da linioj de poezio.
he considered literature and law as careers but was advised to persist with his medical studies. he qualified in 1883 ....	li konsideris literaturon kaj juron kiel karieron, sed oni konsilis lin daŭre studi medicinon. li kvalifikiĝis en 1883...
in 1902 he became professor of pathology at st. mary's hospital, where he was to rule for 45 years, starting in one small, ill-equipped room ....	en 1902 li iĝis profesoro de p­tologio ĉe malsanulejo de sankta maria, kie li regadis 45 jarojn, komencante en unu malgranda nebone ekipita ĉambro ....
in 1906 alexander fleming joined the hospital. the relationship between the two men was good and wright gave fleming full credit for his work and findings.	en 1906 alexander fleming aliĝis al la malsanulejo. la rilatoj inter la du viroj estis bona kaj wright aljuĝis al fleming honoron por ties laboro kaj rezultoj.
80. the drawings at nazca	80. la desegnaĵoj de naska
the gigantic cornplex of drawings on the earth at nazca, peru, are a unique phenomenon. the drawings have become famous throughout the world because of their size, variety and quantity.	la giganta komplekso de ter­desegnaĵoj en naska, peruo, estas unika fenomeno. pro sia grandeco, vario kaj multnombreco la desegnaĵoj famiĝas tra la tuta mondo.
although such drawings are known in other parts of the world, only in nazca was so much energy invested over many generations to draw hundreds of lines and shapes.	kvankam ter-desegnaĵoj estas konataj ankaŭ en aliaj mondpartoj, nur en naska oni investis tiom da energio dum multaj generacioj por desegni centojn da linioj kaj formoj.
the village of nazca is found in the desert plain between the pacific ocean and the andes. here and there rivers flow through the desert steppes and take water from the snowy peaks of the andes to the ocean.	la urbeto naska troviĝas en dezerta ebenaĵo inter pacifika oceano kaj la andoj. jen kaj jen riveroj trafluas la dezertan stepon, kiuj kondukas akvon de la neĝaj pintoj de la andoj al la oceano.
in the first millenium prehistoric cultures were active in the valleys beside these rivers. the nazca culture, which created the giant drawings existed between the 3rd and 9th centuries.	en la valoj apud tiuj riveroj viglis en la unua jarmilo prahistoriaj kulturoj. la naska kulturo, kiu kreis la gigantajn desegnaĵojn, ekzistis inter la tria kaj naŭa jarcentoj.
under the lnca empire ancient traditions disappeared. as a consequence, and because of the lack of writing, the source and aim of the drawings remain a mystery	sub la inkaa imperio malaperis la antikvaj tradicioj. sekve, kaj pro la manko de skribo, la fonto kaj celo de la desegnaĵoj restas mistero.
robotic hand	robota mano
japanese scientists from the atr computational neuroscience laboratories in kioto have produced a robotic hand controlled only by the thoughts of the user. the hand imitates the movement of a natural hand by means of real-time analysis of brain activity.	japanaj sciencistoj de la laboratorioj atr computational neuroscience en kioto prezentis robotan manon tute regatan de la pensoj de la uzanto. tiu mano imitas la movadon de la natura mano pere de realtempa analizo de la cerba aktiveco.
people taking part in the experiment made 'stone, paper or scissors' shape with the right hand. a scanner recorded the corresponding brain activity by measuring blood flow in the brain.	partoprenantoj en ekperimento faris 'ŝtonan, paperan aŭ tondilan figuron' per la dekstra mano. skanilo registris la respondan cerban aktivecon, mezurante sangan fluon en la cerbo.
the information was forwarded to a computer which controlled the robotic hand. after a short period of training, the computer could associate the brain activity with the shape being made.	la informoj estas plusendataj al komputilo kiu regas la robotan manon.  post mallonga   trejnado la komputilo povas asocii la cerban aktivecon kun la farita figuro.
when the person made a fist  the computer instructed the robotic hand to do the same, using only the signals from the brain.	kiam la homo faras pugnon  la komputilo instrukcias la robotan manon fari same, uzante nur la cerban signalon.
although the method works slowly and is expensive, it represents an important milestone in the construction of prostheses controlled by the thoughts of the user.	kvankam la metodo funkcias malrapide kaj estas multekosta, ĝi reprezentas gravan mejlŝtonon en konstruado de protezoj regataj de la pensoj de la uzanto.
academies and languages	akademioj kaj lingvoj
ancient academies were meeting places for open discussion and the transmission of knowledge. more recent academies partly continue that tradition but have become more specialized in particular sciences and arts.	antikvaj akademioj estis renkontejoj por liberaj diskutoj kaj transdono de scioj. novtempaj akademioj parte daŭrigis tiun tradicion, sed pli kaj pli specialiĝis al unuopaj sciencoj kaj artoj.
several academies were founded in florence during the rule of the medici family, among them the academia platonica , the accademia degli umidi , and the most famous of them the accadeia della crusca  which specialised in the tuscan-italian written language and became a model for similar organisations elsewhere in europe, for example the 'sprachpflege' groups in germany.	pluraj akademioj fondiĝis en florenco dum la regado de la familio medici, i.a. academia platonica , accademia degli umidi  kaj la plej fama el ili accademia della crusca, kiu specialiĝis pri toskana-itala skriblingvo kaj iĝis modelo por similaj organizaĵoj en eŭropo, ekzemple por lingvo-flegantaj rondetoj en gemanio.
it is interesting to compare the working principles of the accademia della crusca with another famous european authority, the academie francais. planned languages users have also created their own linguistic societies and academics, whose aims are not always the same.	estas interese kompari la laborprincipojn de accademia della crusca kun la alia fama eŭropa instanco, academie francais. ankaŭ planlingvuloj kreis siajn lingvajn societojn kaj akademiojn, kies celoj ne ĉiam estis identaj.
let us look at the history and aims of the volapuk academy, the interlingua academy, the academy of esperanto and several others.	ni konatiĝu kun historio kaj celoj de kadem bevŭnetik volapuka, academia pro interlingua, akademio de esperanto kaj kelkaj aliaj.
euro notes in belgium	eŭrobiletoj en belgio
according to the web-page www.eurobilltracker.com. a multilingual site, including esperanto, founded in 2002 to observe the movement of euro notes in the european union, at the beginning of july 2007 only 17.3% of euro notes in circulation in belgium were printed there, so really belgian.	laŭ la 'ttt-ejo www.eurobilltracker.com, multlingva, ankaŭ en esperanto, fondita en 2002 por observi la movojn de la eŭrobiletoj en la eŭropa unio, komence de julio 2007 nur 17.3% de la eŭrobiletoj kiu cirkulas en belgio estas presitaj tie, do vere belgaj.
since the introduction of the euro some years ago the percentage has constantly fallen. in january 2002 80% of notes were still belgian. one year later that percentage had already fallen to 50%.	ekde la enkonduko de la eŭro antaŭ kelkaj jaroj la procentaĵo konstante malaltiĝis. en januaro 2002 ankoraŭ pli ol 80% de la biletoj estis belgaj. unu jaron poste tiu procentaĵo jam falis al 50%.
according to eurotracker the percentage of spanish notes is almost as large as the percentage of belgian notes: 16.5%.	laŭ eŭrobilltracker la procentaĵo de hispanaj biletoj nun estas preskaŭ same granda kiel la procentaĵo de belgaj biletoj: 16,5%.
apart from those, german , french , italian  and finnish  notes are often in circulation. less frequently austrian , irish  and greek  notes appear.	krom tiuj, ofte cirkulas germanaj , francaj , italaj  kaj finnaj  biletoj. malpli aperas aŭstraj , irlandaj  kaj grekaj .
the web page allows members to record the notes which they have and also to check in which countries the notes have previously been used.	la ttt-ejo permesas al membroj registri la biletojn kiujn ili posedas, kaj ankaŭ kontroli en kiuj landoj la biletoj jam uziĝis.
eastern astronomy	orienta astronomio
chinese astronomy is one of the two most ancient mappings of the sky , and certainly the most long-lasting.	la ĉina astronomio estas unu el la du plej antikvaj , sed certe la plej longdaŭra registrado de la ĉielo.
the earliest recorded eclipse of the sun was noted in china, in 2136 bc. chinese astronomical observations are uninterrupted for the last three millennia.	la plej frua konata registro de suneklipso venas de ĉinio, el la jaro 2136 ak. la ĉinaj astronomiaj observoj kovras seninterrompe preskaŭ tri jarmilojn ĝis la nuna tempo.
the chinese calendar is nearly four thousand years old, and like the hebrew calendar it is a combination of lunar and solar calendars, based on precise astronomical observations. chinese astronomers did not register just regular phenomena, but also rare events such as comets and super-novae, one of which was the famous supernova in the crab nebula in 1054, which was not mentioned in european sources.	la ĉina kalendaro aĝas preskaŭ kvar jarmilojn kaj estas, kiel la hebrea, kombinita luna kaj suna, bazita je precizaj astronomiaj observoj. sed ĉinaj astronomoj registris ne nur la kalendarajn periodajn fenomenojn, sed ankaŭ rarajn okazaĵojn kiel kometojn kaj gasto-stelojn , unu el kiu estas la fama supernovao de la krabo en la jaro 1054, kiu ne estis menciita en eŭropaj fontoj.
whilst in the dark ages the development of european astronomy was halted by the church, it blossomed in china, and later on in korea and japan.	kiam en mezepoka eŭropo la evoluo de astronomio estis bremsita de la eklezio, ĝi floris en ĉinio kaj sekve en koreio kaj japanio.
salt	salo
salts are ionic compounds which contain any negative ion except an hydroxyl ion  and any positive ion except a hydrogen ion .	saloj estas jonaj kombinaĵoj, kiuj enhavas ajnan negativan jonon krom hidroksida jono , kaj ajnan pozitivan jonon krom hidrogena jono .
many salts are found in nature and myriads of others have been prepared in the laboratory. sodium chloride , cooking or table salt, is probably the best known of all salts. it is also the most frequent1y used salt, often used in cookery to improve the flavour or preserve food.	multaj saloj troviĝas en la naturo, kaj miriadoj da aliaj estis preparitaj en la laboratorio. natria klorido , kuir- aŭ tablo-salo, estas verŝajne la plej konata el ĉiuj saloj. ĝi estas ankaŭ la plej ofte uzata salo, ofte uzata en kuirarto por bongustigi aŭ konservi manĝaĵojn.
it is not good for the health to eat too much sodium, because that can make your blood pressure too high. you can replace sodium salt with a version which contains potassium but which tastes similar because it still contains chloride.	ne estas bone por la sano manĝi tro da natrio, ĉar tio povas tro altigi vian sangopremion. vi povas anstataŭigi salon natrian per version kiu enhavas kalion sed kiu gustas simile ĉar ĝi ankoraŭ havas kloridon
you can eat up to six grams of sodium daily, but many people eat more because a large amount is present in ready made foods. to avoid eating too much salt it is simplest to cook yourself, in that way you can control whether to add salt.	vi rajtas manĝi ĝis ses gramojn da natrio ĉiutage, sed multaj manĝas pli, ĉar ĝi enestas grandkvante en manĝaĵoj jam pretigitaj. por eviti manĝi tro multe da salo, estas plej simple kuiri mem, tiel ke vi povas regi ĉu vi enmetas salon.
banana-shaped banana	banano bananforma
it always looks the same and always tastes the same ­nevertheless we don't want to do without our cavendish-type banana. it is generally the most traded species on a global scale.	ĝi ĉiam aspektas same kaj ĉiam laŭguste samas - tamen ni ne volas malhavi nian bananon de la specio cavendish. ĝi estas la mondvaste ĝenerale komercata specio.
it is currently doubly endangered. in the malay archipelago, indonesia and australia whole plantations have already been wiped out because of a mould causing 'panama-disease type 4' which infects the roots of the banana planto.	aktuale ĝi estas duoble endanĝerigita. en la malaja arkipelago, indonezio kaj aŭstralio jam tutaj plantejoj estas neniigitaj pro ŝimo kaŭzanta 'panamomalsamo-speco-4 " kiu infektas la radikojn de bananoplantoj.
pesticides don't help at ali. although this disease has not yet reached central america or the caribbean - only a matter or time - the mould 'blacksignature' is already spreading there.	pesticidoj tute ne helpas. kvankam malsano tamen ankoraŭ ne atingis mezan amerikon kaj antilojn - nur afero de tempo - tie disvastiĝas jam la ŝimo 'nigrasignaturo' .
experts believe that cavendish bananas will disappear in the next eight years. this problem has happened before. in 1960 a mould wiped out the then dominant variety grosmichel.	fakuloj opinias ke cavendish-pereo okazos dum la sekvaj ok jaroj. tiu ĉi problemo jam antaŭe okazis. en 1960 ŝimo neniigis la tiam dominan specion grosmichel.
old people will certainly remember that bananas then were sweeter. and the next one-shape one-type one-taste banana?	maljunuloj certe memoras ke la tiamaj bananoj estis pli dolĉaj. kaj la sekva unuforma unuspeca unugusta banano?
temperature rise in the tyrol	temperaturleviĝo en tirolo
the austrian organisation for media protection global 2000 presented an alarming forecast of the climate in the tyrol up to 2100. the research shows that in the alpine region the consequence of warming will be very serious.	la aŭstra organizaĵo pri protekto de la naturmedio global 2000 prezentis alarman prognozon pri la klimato en tirolo ĝis 2100. la esploro montras, ke en la alpa regiono la sekvo de plivarmiĝo tre gravos.
the alps react very sensitively to global climate change and therefore could be treated as an 'early warning system'. according to the forecast in the coming decades summers and autumns will be three degrees warmer.	la alpoj reagas tre senteme al la tutmonda klimatŝanĝiĝo kaj tial povus esti traktata kiel 'sistemo de frua averto'. laŭ la prognozo en la sekvaj jardekoj la someroj kaj aŭtunoj estos je tri gradoj pli varmaj.
summers will be dryer but winters will experience more precipitation. at heights below 2000 m it will not snow, only rain. in the winter it will rain up to 30% more than now. by the end of the century all glaciers in austria will have melted.	la someroj estos pli sekaj, la vintroj tamen riĉa je precipitaĵoj. je alto sub 2000m ne neĝos, nur pluvos. en la vintro pluvos ĝis 30 procentojn pli ol nun. ĝis la fino de la jarcento ĉiuj glaciejoj degelos en aŭstrio.
floods and avalanches in the high mountains will occur more often. the warming will also have an effect on energy production: hydroelectric power stations will face serious problems. there will be less water because of the dry summers.	inundoj kaj lavangoj en la alta montaro okazos pli ofte. la plivarmiĝo havos efikon ankaŭ al la energiproduktado. la akvoenergiaj centraloj havos gravajn problemojn. akvo malmultiĝos pro la longaj sekaj someroj.
if we don't take care the energy system will be ruined.	se oni ne antaŭzorgos, la ruiniĝo de la energisistemo certe okazos.
laughter	ridado
it' s well known that laughter reduces mental stress and strengthens the body's immunity. however, how many laughs are necessary for good health?	estas bone konate, ke ridado malmultigas mensajn streĉojn kaj fortigas korpan imunecon. tamen, por sano, kiom da ridoj necesas?
professor kimura jooji of kansai university, japan, has begun to explore the secret of laughter.	profesoro kimura jooĵi de la kansaja universitato, japanio, komencis esplori la sekreton de ridado.
until now attention has only been paid to the expression and voice of the person laughing, but kimura studied the movements of the diaphragm. through experiments he found that when one laughs wholeheartedly the diaphragm shakes. profiting from this discovery he invented a portable laugh-measurer which he will be able to sell until the end of the year.	ĝis nun oni atentis nur mienojn kaj voĉojn de ridantoj, sed kimura esploris la movojn de la diafragmo. en eksperimentoj li trovis ke, kiam oni elkore ridas, la diafragmo tremas. profitante tiun eltrovon, li inventis porteblan ridmezurilon, kiun li povos vendi ĝis la fino de la jaro.
he says "many people are too conscious of their health, taking medicines and worrying about blood-pressure and glucose". however, it's not those things we should be measuring, but the number of laughs.	li diras "multaj homoj estas tro konscia pri sia sano, prenante medikamentojn kaj maltrankviliĝante pro sangopremo kaj glukozo". tamen ne tiajn aferojn oni mezuru sed ridkvanton.
according to the professor one should say to oneself " today i'm short of 500 ah . i should enjoy some funny stories and laugh".	laŭ la profesoro oni diru al si "hodiaŭ mankas 500 ah  al mi. mi ĝuu komikajn rakontojn kaj ridu".
the blue miracle	la blua miraklo
in northern tanzania between lake victoria and the serengeti nature reserve, is a group of five villages called 'salama' .	en norda tanzanio inter lago viktoria kaj la naturrezervejo serengeti estas aro da kvin vilaĝoj nomita "salama' .
people there live in poverty. women get water from pools kilometres away. there are several hundred orphans without any livelihood.	homoj tie vivas en malriĉo. virinoj havigas akvon el flakoj kilometrojn foraj. plurcent orfoj estas sen vivrimedoj.
the village leader, mramba samba, speaks esperanto and tried to use his contacts with europe to improve living conditions for the 14500 villagers. in 2008 he visited europe to look for support for the regional project 'mazingira' - a swahili word meaning: media, nature conservation - which organises the construction of wells and schools, collects money for micro-credit and takes care of orphans.	la vilaĝestro, mramba simba, parolas esperanton kaj klopodis uzi siajn kontaktojn kun eŭropo por plibonigi la vivkondiĉojn de la 145 000 vilaĝanoj. en 2008 li vizitis eŭropon kaj varbis por subteno de la regiona projekto 'mazingira' - svahila vorto kun signifo: medio, naturprotekto - kiu organizas konstruadon de putoj kaj lernejoj, kolektas monon por mikrokreditoj kaj subtenas orfojn.
in the southern german town augsburg several thousand euro were collected for the project. with the donated money they could buy, among other things, equipment for drilling wells. a well previously cost €6000. now, drilling it themselves, they need a little less than €800	en sudgermana urbo aŭgsburgo oni tiucele kolektis kelkmilojn da eŭroj. per la donacita mono oni aĉetis interalie ekipaĵon por putoborado. unu puto antaŭe kostis 6000 eŭrojn. nun, borante mem, oni bezonas iom malpli ol 800 eŭrojn.
artistic future	arta futuro
three world famous architects took part in a competition for a project to build a new cultural centre in the lithuanian capital vilnius. the centre would be a branch of the new york guggenheim museum of modern art and the saint petersburg hermitage.	tri mondfamaj arkitekotoj partoprenis konkurson por la projekto de nova kultura centro en la litova ĉefurbo vilnius. la centro fariĝus filio de novjorka modern-arta muzeo guggenheim kaj sankta­peterburga ermitaĝo.
it would house not only exhibitions from those museums, but also the jonas mekas art centre , a cultural centre for lithuanian jews, a youth education centre and two cinemas for non-commercial films.	en ĝi lokiĝos ne nur ekspozioj de tiuj muzeoj, sed ankaŭ arta centro de jonas mekas, litovdevena usona film­kreanto, artisto ofte nomata 'baptopatro de usona avangarda kino', kultura centro de litovdevenaj judoj, junulara edukcentro, kaj du kinejoj por nekomercaj filmoj.
an international commission decided that the hest project was that of british architect z.hadid. her most famous works are the transport museum in glasgow, the aquatics centre for the 2012 olympic games in london, the museum of 21st century arts in rome and the guggenheim museum in taiwan	internacia komisiono decidis ke la plej bona proj ekto estas tiu de la brita arkitekto z. hadid. ŝiaj plej famaj verkoj estas la transporta muzeo en glasgovo, la centro aquatics por la olimpikaj ludoj de 2012 en londono, la muzeo de artoj de la 21a jarcento en romo kaj la muzeo guggenheim en tajvano.
proportional result	rezulto proporcia
a general election took place in albania 28th june. instead of a straight majority system they used a new system of election, proportional-regional, which had been approved in february.	la 28an de junio okazis ĝenerala balotado en albanio. oni uzis anstataŭ majoritata novan elekto-kodon, proporcian-regionan, aprobitan en februaro.
the previous majority system aimed to reduce the number of parliamentary parties, but provoked strong protests. it particularly angered the socialist movement for integration, led by ilir meta, which five years ago split from the socialist party led by edi rama, mayor of tirana.	la antaŭa majoritata sistemo celis malpliigi parlamentajn partiojn, sed provokis fortajn protestojn. koleris aparte la socialista movado por integriĝo, estrata de ilir meta, kiu disiĝis antaŭ kvin jaroj de la socialista partio de edi rama, urbestro de tirano.
as expected, the result was complicated. the rightwing democratic coalition gained 70 of 140 seats, so equalled the leftwing coalition.	kiel atendite, la rezulto estis komplika. la dekstra demokratia koalicio akiris 70 el 140 deputitoj, do egale al la koalicio maldekstra.
therefore the socialist movement for integration, with four seats, accepted the proposal from sali berisha, current democratic prime minister, to jointly form a new government.	tial la socialista movado por integriĝo, kun kvar mandatoj, akceptis la proponon de sali berisha, la aktuala demokrata ĉefministro, por kune fondi novan registaron.
thus the political crisis was solved and for the first time the new government, approved by the new parliament early in september, will have members from the right and the left.	tiel solviĝis la politika krizo kaj la nova registaro, aprobita de nova parlamento frue en septembro, unuafoje enhavos dekstrulojn kaj maldekstrulojn.
the kingfisher	la alciono
it is regarded as a "flying jewel". but it's not only its beautifully multicoloured plumage which attracts attention; the sparrow-sized bird is extraordinaryin other respects too.	oni rigardas ĝin "fluganta juvelŝtono". frapas la atenton ne nur ĝia belege bunta plumaro; ankaŭ alie la paserogranda birdo estas eksterordinara.
it doesn't lay eggs in a nest, but in metre­long tunnel of earth, and swift as lightning it catches fish although it can't swim.	ĝi ne kovas ovojn en nesto, sed en metro­profunda tertubo, kaj ĝi fulmrapide ĉasas fiŝojn kvankam ĝi ne povas naĝi.
the kingfisher is one of the few birds which catch prey underwater although, unlike the cormorant, it can't swim.	la alciono apartenas al la malmultaj birdoj, kiuj subakviĝe predas, kvankam ĝi, kontraŭe al la kormorano, ne povas naĝi.
it can fish even in swift flowing water, and its immersion is helped by the very dense structure of its plumage. its german name eisvogel  in no way refers to a preference for snow or ice. very cold water is fatal for the bird because it can't fish in it.	eĉ en rapide fluantaj akvoj ĝi povas fiŝi, kaj la mergon favoras la tre densa strukturo de la plumaro. ĝia germana nomo eisvogel  tute ne rilatas al prefero de neĝo aŭ glacio. malvarmega akvo eĉ estas mortiga por la birdo ĉar tie ne eblas fiŝado.
the name might come from the old-german eisen which means brilliant, scintillating, or from eisenfarbig  because of its blue back and rust-coloured chest feathers.	la nomo eble devenas de la malnovgermana eisen, kiu signifas brila aŭ scintila, aŭ de eisenfarbig  pro la blua dorso kaj rustruĝa ventroplumaro.
worldwide there are over 100 species, but only one lives in germany alcedo atthis.	kvankam mondvaste ekzistas pli ol 100 specioj, en gemanio vivas nur unu specio alcedo atthis.
current crisis	kurento-krizo
60 million people in 18 of the 26 brazilian states suffered a blackout when the electricity system failed, 10th november 2009.	60 milionoj da homoj en 18 el la 26 brazilaj ŝtatoj spertis malheliĝon, kiam la loan de novembro 2009 paneis la elektrosistemo.
the blackout lasted up to seven hours, depending on locality, and was caused by a breakdown at itaipu, the largest hydroelectric power station in the world. the power station operates on the river parana which flows from east to west in the southem region of brazil.	la malheliĝon, kiu daŭris depende de la loko ĝis sep horoj, kauzis paneo en itaipu, la plej granda hidroelektra centralo en la mondo. la centralo funkcias per la akvo de rivero parana, kiu fluas eloriente-okcidenten en la suda regiono de brazilo.
with 18 generators, itaipu provi des a quarter of ali the electricity used in brazil, and almost ali of that used in paraguay, which was also greatly affected by the breakdown ....	pere de 18 generatoroj, itaipu liveras kvaronon de la tuta elektro de brazilo kaj preskaŭ la tutan elektron de paragvajo, lando ankaŭ forte trafita de la paneo ....
the brazilian minister of mines and energy said that bad weather in the region of the power station had caused the catastrophe. lightning strikes there could damage delicate equipment. however, for no particular reason, some thought it was an attack on the power station's computer system.	la brazila ministro pri minoj kaj energio diris, ke kaŭzis la katastofon malbona vetero en la regiono de la centralo. tieaj fulmoj kapablis difekti delikatajn aparatojn. tamen sen apartaj kialoj kelkaj opniis, ke temis pri atako kontraŭ la komputila sistemo ĉe la centralo.
there was no lack of jokes that the station was then under the control of homer simpson, the bungler of usa animation film.	ne mankis ŝerco, ke itaipu estis tiam regata de homer simpson, la fuŝulo de usona animacia filmo.
concerning museums ...	pri muzeoj ...
in 1880 john ruskin wrote an article entitled 'a museum or picture gallery, its functions and its formations' stating:	en 1880 john ruskin verkis artikolon titolitan 'muzeo aŭ bildgalario, ĝiaj funkcioj kaj formiĝo' dirante:
"the first function of a museum ... is to give example of perfect order and perfect elegance ... to the disorderly and rude populace. everything in its own place ... nothing crowded, nothing unnecessary, nothing puzzling. therefore, once a room has been arranged, there must be no change to it ...	"la unua funkcio de muzeo ... estas doni ekzemplon de perfekta ordo kaj perfekta eleganteco ... al la senordema kaj kruda popolo.  ĉio en sia loko ... nenio plenŝtopita, nenio nenecesa, nenio enigma. tial, post kiam ĉambro estas aranĝita, oni devas ŝanĝi nenion en ĝi...
the original expenditure for building and fitting must be magnificent ... the current expenditure magnanimous; but a certain proportion of this current cost should be covered by small entrance fees, exacted, not for any miserly helping out of the floor- sweepers' salaries, but for the sake of the visitors themselves, that the rooms may not be encumbered by the idle, or disgraced by the disreputable.	la komenca elspezo por konstruado kaj garnituro devas esti grandioza ... la ĉiutaga elspezo grandanima; sed iun porcion de tiu ĉiutaga elspezo oni havigu per malgranda enirkosto, postulata ne por iom avare kontribui al salajroj de plankbalaistoj, sed por la vizitantoj mem, por ke la ĉambrojn ne plenigu mallaboremuloj nek malhonori malestiminduloj.
you must not make your museum a refuge against rain or ennui, not let into the perfectly furnished ... palatial rooms, the utterly squalid and ill-bred portion of the people ..."	vi devas ne fari el via muzeo rifuĝejon kontraŭ pluvo aŭ enuo, ne enlasi en la perfekte ekipitajn ... palacajn ĉambrojn la tute mizeran kaĵ malnobelan porcion de la popolo ...
for want of a dollar a year	pro manko de dolaro jare
it is a lethal agent that kills more children under the age of five than measles, malaria or aids.  in fact, across the developing world it is the fourth biggest cause of death and disease.  yet you have probably never heard of the problem.	ĝi estas mortigaĵo kiu pli da infanoj malpli ol kvinjara mortigas ol morbilo, malario kaj aidoso.  fakte, tra la disvolviĝanta mondo ĝi estas la kvara plej granda kialo de morto kaj malsano.  tamen verŝajne vi neniam aŭdis pri la problemo.
...more than a third of humanity have to cook every day on traditional stoves that burn wood, crop residues or dung. and cooking smoke, like cigarette smoke, is a cocktail of poisons including carbon monoxide, nitrogen oxides and carcinogens such as formaldehyde and benzene.  this explains why cooking smoke is thought to kill 1.6 million people every year, mostly women and young children. ....	...pli ol triono da homaro devas kuiri ĉiutage per tradiciaj fornoj kiuj bruligas lignon, plantrestaĵojn aŭ fekaĵon.  kaj kuirfumo, kiel cigaredfumo, estas miksaĵo de venenoj inkluzive de karbona monooksido, nitrogenaj oksidoj kaj kancerogenaĵo kiel formaldehido kaj benzeno.  tio klarigas kial oni pensas ke kuirfumo mortigas 1,6 milionojn da homoj ĉiujare, plejparte virinojn kaj junajn infanojn....
but they could afford a stove with a chimney that takes the smoke out of the house.  if the structure of the house makes a chimney impossible, a hood which takes the smoke up into the roof can be almost as good.	 sed ili povus toleri elspezon por forno kun kamentubo kiu kondukas fumon ekster la domon.   se la konstruo de la domo estas tia ke kamentubo ne eblas, preskaŭ egale bonas kapuĉo kun fumtubo kiu kondukas fumon supren en la tegmenton.
it is estimated that $2.5 billion a year for 12 years would provide 2 billion people with a healthy indoor environment - about $1 a person a year.	oni taksas ke po 2.5 bilionoj da dolaroj jare dum 12 jaroj provizus al 2 bilionoj da homoj sanan endoman medion - ĉirkaŭ $1 por ĉiu homo jare.
looking for lizards	ŝercante lacertojn
between 1990 and 2002, the irish wildlife trust' conservation officer at the time, ferdia marnell, carried out the first survey of this unusual creature. working on reports from all but five counties, ferdia found out some very interesting things about 'lacerta vivipara'.  perhaps most importantly, he discovered that the lizard is more widespread than previously recorded.	inter 1990 kaj 2002, la tiamakonservadisto de la irlanda sovaĝnatura kuratoreco, ferdia marnell, efektivigis la unuan esploron de tiu nekutima besto.  uzante raportojn el ĉiuj krom kvin graflandoj, ferdia eltrovis iom da tre interesaj faktoj pri 'lacerta vivipara'.  eble ple grave, li eltrovis ke la lacerto estas pli disvastigita ol antaŭe registrita.
